Time(s),T1(K),T2(K),T3(K),VSrc(V),VDev(V),RDev
0.0,4.809500E+01,2.621000E+00,2.761000E+00,1.91e-05,5.24e-05,-157357.35735735737
1.7472560405731201,4.809700E+01,2.686000E+00,2.788000E+00,1.87e-05,4.3e-05,-176954.73251028807
3.5367140769958496,4.809800E+01,2.777000E+00,2.855000E+00,2.47e-05,3.89e-05,-273943.66197183105
5.143565654754639,4.810000E+01,2.668000E+00,2.915000E+00,2.84e-05,4.98e-05,-232710.28037383177
6.734816551208496,4.810000E+01,2.784000E+00,2.858000E+00,2.9e-05,3.67e-05,-476623.37662337674
8.341668128967285,4.810000E+01,2.667000E+00,2.915000E+00,2.63e-05,5e-05,-210970.46413502106
9.948519706726074,4.810100E+01,2.605000E+00,2.818000E+00,2.6e-05,4.48e-05,-238297.87234042553
11.742577075958252,4.810100E+01,2.622000E+00,2.764000E+00,2.53e-05,3.45e-05,-374999.99999999994
13.349428415298462,4.810100E+01,2.692000E+00,2.794000E+00,2.28e-05,4.45e-05,-205069.12442396313
15.143486022949219,4.810100E+01,2.628000E+00,2.765000E+00,2.1e-05,5.26e-05,-166455.69620253166
16.750337600708008,4.810200E+01,2.695000E+00,2.797000E+00,2.23e-05,5.26e-05,-173597.3597359736
18.544394969940186,4.810600E+01,2.786000E+00,2.867000E+00,2.16e-05,4.31e-05,-200465.11627906977
20.151246547698975,4.810800E+01,2.649000E+00,2.912000E+00,2.36e-05,4e-05,-243902.43902439022
21.94530415534973,4.810600E+01,2.606000E+00,2.806000E+00,2.84e-05,5.52e-05,-205970.14925373133
23.55215573310852,4.810600E+01,2.627000E+00,2.768000E+00,1.71e-05,4.77e-05,-155882.35294117648
25.3462131023407,4.810900E+01,2.608000E+00,2.803000E+00,2.01e-05,4.81e-05,-171785.7142857143
26.939464330673218,4.810800E+01,2.632000E+00,2.768000E+00,2.13e-05,4.66e-05,-184189.7233201581
28.889526844024658,4.811100E+01,2.715000E+00,2.804000E+00,1.57e-05,5.15e-05,-143854.74860335194
30.545179843902588,4.811300E+01,2.781000E+00,2.877000E+00,1.53e-05,5.45e-05,-139030.61224489796
32.15203142166138,4.811400E+01,2.637000E+00,2.907000E+00,1.93e-05,5.69e-05,-151329.78723404257
33.946089029312134,4.811200E+01,2.611000E+00,2.793000E+00,2.52e-05,5.48e-05,-185135.13513513515
35.53733992576599,4.811600E+01,2.633000E+00,2.905000E+00,2.45e-05,4.64e-05,-211872.14611872143
37.14419150352478,4.811400E+01,2.610000E+00,2.790000E+00,2.22e-05,4.77e-05,-187058.82352941178
38.75104308128357,4.811400E+01,2.635000E+00,2.772000E+00,1.73e-05,4.4e-05,-164794.0074906367
40.545100688934326,4.811800E+01,2.724000E+00,2.811000E+00,1.6e-05,5.44e-05,-141666.6666666667
42.16755247116089,4.812000E+01,2.780000E+00,2.886000E+00,2.31e-05,5.21e-05,-179655.1724137931
43.93321108818054,4.812000E+01,2.733000E+00,2.813000E+00,2.4e-05,4.41e-05,-219402.98507462686
45.53686833381653,4.812300E+01,2.773000E+00,2.888000E+00,2.53e-05,4.26e-05,-246242.774566474
47.14371991157532,4.812400E+01,2.621000E+00,2.895000E+00,1.94e-05,3.32e-05,-240579.71014492755
48.75057125091553,4.812200E+01,2.609000E+00,2.776000E+00,2.69e-05,2.96e-05,-1096296.2962962957
50.54462909698486,4.812400E+01,2.619000E+00,2.892000E+00,2.83e-05,3.78e-05,-397894.73684210534
